"","Federal.Provider.Number","Provider.Name","Survey.Date","Deficiency.Tag.Number","Deficiency.Category","Deficiency.Description","Deficiency.Corrected","Scope.Severity.Code","Correction.Date","total_deaths","State","Geolocation"
"83","056010","SEAL BEACH HEALTH AND REHABILITATION CENTER","05/25/2018",770,"Administration Deficiencies","Provide timely, quality laboratory services/tests to meet the needs of residents.","Deficient, Provider has date of correction","D","06/18/2018",22,"CA","POINT (-118.077572 33.77319500000001)"
"84","056010","SEAL BEACH HEALTH AND REHABILITATION CENTER","05/25/2018",770,"Administration Deficiencies","Provide timely, quality laboratory services/tests to meet the needs of residents.","Deficient, Provider has date of correction","D","06/18/2018",21,"CA","POINT (-118.077572 33.77319500000001)"
"85","056010","SEAL BEACH HEALTH AND REHABILITATION CENTER","08/28/2017",514,"Administration Deficiencies","Keep accurate, complete and organized clinical records on each resident that meet professional standards.","Deficient, Provider has date of correction","D","10/31/2017",23,"CA","POINT (-118.077572 33.77319500000001)"
"86","056010","SEAL BEACH HEALTH AND REHABILITATION CENTER","08/28/2017",514,"Administration Deficiencies","Keep accurate, complete and organized clinical records on each resident that meet professional standards.","Deficient, Provider has date of correction","D","10/31/2017",22,"CA","POINT (-118.077572 33.77319500000001)"
"87","056010","SEAL BEACH HEALTH AND REHABILITATION CENTER","08/28/2017",514,"Administration Deficiencies","Keep accurate, complete and organized clinical records on each resident that meet professional standards.","Deficient, Provider has date of correction","D","10/31/2017",21,"CA","POINT (-118.077572 33.77319500000001)"
"88","056010","SEAL BEACH HEALTH AND REHABILITATION CENTER","08/28/2017",518,"Administration Deficiencies","Train all employees on what to do in an emergency, and carry out unannounced staff drills.","Deficient, Provider has date of correction","D","10/20/2017",23,"CA","POINT (-118.077572 33.77319500000001)"
"89","056010","SEAL BEACH HEALTH AND REHABILITATION CENTER","08/28/2017",518,"Administration Deficiencies","Train all employees on what to do in an emergency, and carry out unannounced staff drills.","Deficient, Provider has date of correction","D","10/20/2017",22,"CA","POINT (-118.077572 33.77319500000001)"
"90","056010","SEAL BEACH HEALTH AND REHABILITATION CENTER","08/28/2017",518,"Administration Deficiencies","Train all employees on what to do in an emergency, and carry out unannounced staff drills.","Deficient, Provider has date of correction","D","10/20/2017",21,"CA","POINT (-118.077572 33.77319500000001)"
"91","056080","HUNTINGTON POST ACUTE","05/08/2018",835,"Administration Deficiencies","Administer the facility in a manner that enables it to use its resources effectively and efficiently.","Deficient, Provider has date of correction","D","05/29/2018",21,"CA","POINT (-118.153597 34.131581)"
"92","056080","HUNTINGTON POST ACUTE","05/19/2017",518,"Administration Deficiencies","Train all employees on what to do in an emergency, and carry out unannounced staff drills.","Deficient, Provider has date of correction","E","06/13/2017",21,"CA","POINT (-118.153597 34.131581)"
"93","056080","HUNTINGTON POST ACUTE","10/23/2017",514,"Administration Deficiencies","Keep accurate, complete and organized clinical records on each resident that meet professional standards.","Deficient, Provider has date of correction","D","11/03/2017",21,"CA","POINT (-118.153597 34.131581)"
"94","056080","HUNTINGTON POST ACUTE","03/16/2018",849,"Administration Deficiencies","Arrange for the provision of hospice services or assist the resident in transferring to a facility that will arrange for the provision of hospice services.","Deficient, Provider has date of correction","E","04/24/2018",21,"CA","POINT (-118.153597 34.131581)"
"95","056080","HUNTINGTON POST ACUTE","10/11/2017",514,"Administration Deficiencies","Keep accurate, complete and organized clinical records on each resident that meet professional standards.","Deficient, Provider has date of correction","D","10/18/2017",21,"CA","POINT (-118.153597 34.131581)"
"96","056080","HUNTINGTON POST ACUTE","05/19/2017",516,"Administration Deficiencies","Keep clinical record information safe.","Deficient, Provider has date of correction","D","06/13/2017",21,"CA","POINT (-118.153597 34.131581)"
"97","056113","ALEXANDRIA CARE CENTER","10/02/2017",502,"Administration Deficiencies","Give or get quality laboratory services/tests in a timely manner to meet the needs of residents.","Deficient, Provider has date of correction","D","10/11/2017",36,"CA","POINT (-118.298328 34.098802)"
"98","056113","ALEXANDRIA CARE CENTER","10/02/2017",502,"Administration Deficiencies","Give or get quality laboratory services/tests in a timely manner to meet the needs of residents.","Deficient, Provider has date of correction","D","10/11/2017",35,"CA","POINT (-118.298328 34.098802)"
"99","056113","ALEXANDRIA CARE CENTER","10/02/2017",502,"Administration Deficiencies","Give or get quality laboratory services/tests in a timely manner to meet the needs of residents.","Deficient, Provider has date of correction","D","10/11/2017",34,"CA","POINT (-118.298328 34.098802)"
"100","056129","BURBANK HEALTHCARE & REHAB","07/09/2019",840,"Administration Deficiencies","Employ or obtain outside professional resources to provide services in the nursing home when the facility does not employ a qualified professional to furnish a required service.","Deficient, Provider has date of correction","D","07/23/2019",22,"CA","POINT (-118.311292 34.162823)"
"101","056129","BURBANK HEALTHCARE & REHAB","07/09/2019",840,"Administration Deficiencies","Employ or obtain outside professional resources to provide services in the nursing home when the facility does not employ a qualified professional to furnish a required service.","Deficient, Provider has date of correction","D","07/23/2019",24,"CA","POINT (-118.311292 34.162823)"
"102","056129","BURBANK HEALTHCARE & REHAB","05/17/2019",867,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies  and develop corrective plans of action.","Deficient, Provider has date of correction","D","06/20/2019",22,"CA","POINT (-118.311292 34.162823)"
"103","056129","BURBANK HEALTHCARE & REHAB","05/17/2019",867,"Administration Deficiencies","Set up an ongoing quality assessment and assurance group to review quality deficiencies  and develop corrective plans of action.","Deficient, Provider has date of correction","D","06/20/2019",24,"CA","POINT (-118.311292 34.162823)"
"104","056237","ALDEN TERRACE CONVALESCENT HOSPITAL","12/26/2017",850,"Administration Deficiencies","Hire a qualified full-time social worker in a facility with more than 120 beds.","Deficient, Provider has date of correction","F","02/12/2018",21,"CA","POINT (-118.284158 34.048739000000005)"
"105","056237","ALDEN TERRACE CONVALESCENT HOSPITAL","12/26/2017",850,"Administration Deficiencies","Hire a qualified full-time social worker in a facility with more than 120 beds.","Deficient, Provider has date of correction","F","02/12/2018",24,"CA","POINT (-118.284158 34.048739000000005)"
"106","056237","ALDEN TERRACE CONVALESCENT HOSPITAL","12/26/2017",850,"Administration Deficiencies","Hire a qualified full-time social worker in a facility with more than 120 beds.","Deficient, Provider has date of correction","F","02/12/2018",25,"CA","POINT (-118.284158 34.048739000000005)"
"107","056237","ALDEN TERRACE CONVALESCENT HOSPITAL","12/26/2017",850,"Administration Deficiencies","Hire a qualified full-time social worker in a facility with more than 120 beds.","Deficient, Provider has date of correction","F","02/12/2018",22,"CA","POINT (-118.284158 34.048739000000005)"
"108","056237","ALDEN TERRACE CONVALESCENT HOSPITAL","12/26/2017",850,"Administration Deficiencies","Hire a qualified full-time social worker in a facility with more than 120 beds.","Deficient, Provider has date of correction","F","02/12/2018",23,"CA","POINT (-118.284158 34.048739000000005)"
"109","056244","GRAND PARK CONVALESCENT HOSPITAL","11/17/2017",514,"Administration Deficiencies","Keep accurate, complete and organized clinical records on each resident that meet professional standards.","Deficient, Provider has date of correction","D","12/15/2017",27,"CA","POINT (-118.28051200000002 34.056061)"
